Service Sectors,Age Group,Year,No. of employed,Gender
Transportation & Storage,65 or over,2011,0.6,Male
Accommodation & Food Services,65 or over,2011,4.8,Male
Information & Communications,65 or over,2011,0.3,Male
Professional And Administrative & Support,65 or over,2011,5.1,Male
Financial & Insurance Services,65 or over,2011,0.5,Male
Real Estate Services,65 or over,2011,0.3,Male
Wholesale & Retail Trade,15 - 19,2010,3.6,Male
Transportation & Storage,15 - 19,2010,0.4,Male
Accommodation & Food Services,15 - 19,2010,2.7,Male
Information & Communications,15 - 19,2010,0.7,Male
Professional And Administrative & Support,15 - 19,2010,3.4000000000000004,Male
Financial & Insurance Services,15 - 19,2010,0.4,Male
Real Estate Services,15 - 19,2010,0.2,Male
Wholesale & Retail Trade,20 - 24,2010,10.0,Male
Transportation & Storage,20 - 24,2010,3.5,Male
Accommodation & Food Services,20 - 24,2010,4.4,Male
Information & Communications,20 - 24,2010,3.4,Male
Professional And Administrative & Support,20 - 24,2010,7.800000000000001,Male
Financial & Insurance Services,20 - 24,2010,5.2,Male
Real Estate Services,20 - 24,2010,1.4,Male
Wholesale & Retail Trade,25 - 29,2010,12.5,Male
Transportation & Storage,25 - 29,2010,7.0,Male
Accommodation & Food Services,25 - 29,2010,3.3,Male
Information & Communications,25 - 29,2010,6.9,Male
Professional And Administrative & Support,25 - 29,2010,10.2,Male
Financial & Insurance Services,25 - 29,2010,12.5,Male
Real Estate Services,25 - 29,2010,2.2,Male
Wholesale & Retail Trade,30 - 34,2010,16.2,Male
Transportation & Storage,30 - 34,2010,7.3,Male
Accommodation & Food Services,30 - 34,2010,4.9,Male
Information & Communications,30 - 34,2010,7.2,Male
Professional And Administrative & Support,30 - 34,2010,12.100000000000001,Male
Financial & Insurance Services,30 - 34,2010,13.3,Male
Real Estate Services,30 - 34,2010,3.4,Male
Wholesale & Retail Trade,35 - 39,2010,18.1,Male
Transportation & Storage,35 - 39,2010,7.3,Male
Accommodation & Food Services,35 - 39,2010,6.0,Male
Information & Communications,35 - 39,2010,7.8,Male
Professional And Administrative & Support,35 - 39,2010,13.8,Male
Financial & Insurance Services,35 - 39,2010,12.9,Male
Real Estate Services,35 - 39,2010,3.1,Male
Wholesale & Retail Trade,40 - 44,2010,19.7,Male
Transportation & Storage,40 - 44,2010,5.4,Male
Accommodation & Food Services,40 - 44,2010,7.4,Male
Information & Communications,40 - 44,2010,4.4,Male
Professional And Administrative & Support,40 - 44,2010,11.8,Male
Financial & Insurance Services,40 - 44,2010,8.5,Male
Real Estate Services,40 - 44,2010,2.1,Male
Wholesale & Retail Trade,45 - 49,2010,20.2,Male
Transportation & Storage,45 - 49,2010,5.0,Male
Accommodation & Food Services,45 - 49,2010,9.4,Male
Information & Communications,45 - 49,2010,3.6,Male
Professional And Administrative & Support,45 - 49,2010,13.0,Male
Financial & Insurance Services,45 - 49,2010,7.3,Male
Real Estate Services,45 - 49,2010,3.0,Male
Wholesale & Retail Trade,50 - 54,2010,17.9,Male
Transportation & Storage,50 - 54,2010,4.3,Male
Accommodation & Food Services,50 - 54,2010,11.6,Male
Information & Communications,50 - 54,2010,2.4,Male
Professional And Administrative & Support,50 - 54,2010,14.0,Male
Financial & Insurance Services,50 - 54,2010,4.7,Male
Real Estate Services,50 - 54,2010,2.3,Male
Wholesale & Retail Trade,55 - 59,2010,12.2,Male
Transportation & Storage,55 - 59,2010,3.2,Male
Accommodation & Food Services,55 - 59,2010,9.6,Male
Information & Communications,55 - 59,2010,1.1,Male
Professional And Administrative & Support,55 - 59,2010,10.7,Male
Financial & Insurance Services,55 - 59,2010,2.3,Male
Real Estate Services,55 - 59,2010,1.3,Male
Wholesale & Retail Trade,60 - 64,2010,5.9,Male
Transportation & Storage,60 - 64,2010,1.6,Male
Accommodation & Food Services,60 - 64,2010,5.6,Male
Information & Communications,60 - 64,2010,0.3,Male
Professional And Administrative & Support,60 - 64,2010,5.8999999999999995,Male
Financial & Insurance Services,60 - 64,2010,1.3,Male
Real Estate Services,60 - 64,2010,0.8,Male
Wholesale & Retail Trade,65 or over,2010,3.1,Male
Transportation & Storage,65 or over,2010,0.4,Male
Accommodation & Food Services,65 or over,2010,3.8,Male
Information & Communications,65 or over,2010,0.1,Male
Professional And Administrative & Support,65 or over,2010,3.9,Male
Financial & Insurance Services,65 or over,2010,0.5,Male
Real Estate Services,65 or over,2010,0.4,Male
Wholesale & Retail Trade,15 - 19,2009,2.8,Male
Transportation & Storage,15 - 19,2009,0.2,Male
Accommodation & Food Services,15 - 19,2009,2.5,Male
Information & Communications,15 - 19,2009,0.5,Male
Professional And Administrative & Support,15 - 19,2009,3.0,Male
Financial & Insurance Services,15 - 19,2009,0.2,Male
Real Estate Services,15 - 19,2009,0.1,Male
Wholesale & Retail Trade,20 - 24,2009,7.6,Male
Transportation & Storage,20 - 24,2009,3.8,Male
Accommodation & Food Services,20 - 24,2009,4.4,Male
Information & Communications,20 - 24,2009,3.1,Male
Professional And Administrative & Support,20 - 24,2009,7.5,Male
Financial & Insurance Services,20 - 24,2009,5.6,Male
Real Estate Services,20 - 24,2009,1.0,Male
Wholesale & Retail Trade,25 - 29,2009,11.9,Male
Transportation & Storage,25 - 29,2009,6.4,Male
Accommodation & Food Services,25 - 29,2009,3.8,Male
Information & Communications,25 - 29,2009,7.6,Male
Professional And Administrative & Support,25 - 29,2009,11.399999999999999,Male
Financial & Insurance Services,25 - 29,2009,12.5,Male
Real Estate Services,25 - 29,2009,2.7,Male
Wholesale & Retail Trade,30 - 34,2009,17.1,Male
Transportation & Storage,30 - 34,2009,5.6,Male
Accommodation & Food Services,30 - 34,2009,4.6,Male
Information & Communications,30 - 34,2009,8.7,Male
Professional And Administrative & Support,30 - 34,2009,13.299999999999999,Male
Financial & Insurance Services,30 - 34,2009,12.3,Male
Real Estate Services,30 - 34,2009,3.2,Male
Wholesale & Retail Trade,35 - 39,2009,19.0,Male
Transportation & Storage,35 - 39,2009,6.3,Male
Accommodation & Food Services,35 - 39,2009,5.2,Male
Information & Communications,35 - 39,2009,6.2,Male
Professional And Administrative & Support,35 - 39,2009,11.4,Male
Financial & Insurance Services,35 - 39,2009,12.6,Male
Real Estate Services,35 - 39,2009,3.6,Male
Wholesale & Retail Trade,40 - 44,2009,19.8,Male
Transportation & Storage,40 - 44,2009,5.0,Male
Accommodation & Food Services,40 - 44,2009,7.5,Male
Information & Communications,40 - 44,2009,4.6,Male
Professional And Administrative & Support,40 - 44,2009,12.1,Male
Financial & Insurance Services,40 - 44,2009,9.0,Male
Real Estate Services,40 - 44,2009,3.0,Male
Wholesale & Retail Trade,45 - 49,2009,18.8,Male
Transportation & Storage,45 - 49,2009,5.2,Male
Accommodation & Food Services,45 - 49,2009,10.7,Male
Information & Communications,45 - 49,2009,3.1,Male
Professional And Administrative & Support,45 - 49,2009,13.799999999999999,Male
Financial & Insurance Services,45 - 49,2009,6.9,Male
Real Estate Services,45 - 49,2009,3.4,Male
Wholesale & Retail Trade,50 - 54,2009,15.4,Male
Transportation & Storage,50 - 54,2009,4.2,Male
Accommodation & Food Services,50 - 54,2009,11.3,Male
Information & Communications,50 - 54,2009,2.6,Male
Professional And Administrative & Support,50 - 54,2009,13.9,Male
Financial & Insurance Services,50 - 54,2009,5.2,Male
Real Estate Services,50 - 54,2009,2.0,Male
Wholesale & Retail Trade,55 - 59,2009,9.7,Male
Transportation & Storage,55 - 59,2009,2.5,Male
Accommodation & Food Services,55 - 59,2009,7.4,Male
Information & Communications,55 - 59,2009,1.2,Male
Professional And Administrative & Support,55 - 59,2009,8.6,Male
Financial & Insurance Services,55 - 59,2009,2.6,Male
Real Estate Services,55 - 59,2009,1.6,Male
Wholesale & Retail Trade,60 - 64,2009,4.6,Male
Transportation & Storage,60 - 64,2009,1.1,Male
Accommodation & Food Services,60 - 64,2009,6.0,Male
Information & Communications,60 - 64,2009,0.4,Male
Professional And Administrative & Support,60 - 64,2009,6.4,Male
Financial & Insurance Services,60 - 64,2009,0.6,Male
Real Estate Services,60 - 64,2009,0.8,Male
Wholesale & Retail Trade,65 or over,2009,2.9,Male
Transportation & Storage,65 or over,2009,0.3,Male
Accommodation & Food Services,65 or over,2009,3.9,Male
Information & Communications,65 or over,2009,0.2,Male
Professional And Administrative & Support,65 or over,2009,4.1,Male
Financial & Insurance Services,65 or over,2009,0.4,Male
Real Estate Services,65 or over,2009,0.7,Male
Wholesale & Retail Trade,15 - 19,2008,3.3,Male
Transportation & Storage,15 - 19,2008,0.5,Male
Accommodation & Food Services,15 - 19,2008,2.3,Male
Information & Communications,15 - 19,2008,0.4,Male
Professional And Administrative & Support,15 - 19,2008,2.6999999999999997,Male
Financial & Insurance Services,15 - 19,2008,0.6,Male
Real Estate Services,15 - 19,2008,0.1,Male
Wholesale & Retail Trade,20 - 24,2008,10.0,Male
Transportation & Storage,20 - 24,2008,3.9,Male
Accommodation & Food Services,20 - 24,2008,3.7,Male
Information & Communications,20 - 24,2008,4.0,Male
Professional And Administrative & Support,20 - 24,2008,7.7,Male
Financial & Insurance Services,20 - 24,2008,7.2,Male
Real Estate Services,20 - 24,2008,1.3,Male
Wholesale & Retail Trade,25 - 29,2008,11.6,Male
Transportation & Storage,25 - 29,2008,6.8,Male
Accommodation & Food Services,25 - 29,2008,3.4,Male
Information & Communications,25 - 29,2008,6.4,Male
Professional And Administrative & Support,25 - 29,2008,9.8,Male
Financial & Insurance Services,25 - 29,2008,12.5,Male
Real Estate Services,25 - 29,2008,2.1,Male
Wholesale & Retail Trade,30 - 34,2008,18.1,Male
Transportation & Storage,30 - 34,2008,6.0,Male
Accommodation & Food Services,30 - 34,2008,4.6,Male
Information & Communications,30 - 34,2008,7.0,Male
Professional And Administrative & Support,30 - 34,2008,11.6,Male
Financial & Insurance Services,30 - 34,2008,13.1,Male
Real Estate Services,30 - 34,2008,3.8,Male
Wholesale & Retail Trade,35 - 39,2008,17.6,Male
Transportation & Storage,35 - 39,2008,6.5,Male
Accommodation & Food Services,35 - 39,2008,5.3,Male
Information & Communications,35 - 39,2008,6.0,Male
Professional And Administrative & Support,35 - 39,2008,11.3,Male
Financial & Insurance Services,35 - 39,2008,13.0,Male
Real Estate Services,35 - 39,2008,3.0,Male
Wholesale & Retail Trade,40 - 44,2008,19.2,Male
Transportation & Storage,40 - 44,2008,5.6,Male
Accommodation & Food Services,40 - 44,2008,8.0,Male
Information & Communications,40 - 44,2008,4.5,Male
Professional And Administrative & Support,40 - 44,2008,12.5,Male
Financial & Insurance Services,40 - 44,2008,9.3,Male
Real Estate Services,40 - 44,2008,2.9,Male
Wholesale & Retail Trade,45 - 49,2008,19.2,Male
Transportation & Storage,45 - 49,2008,5.5,Male
Accommodation & Food Services,45 - 49,2008,10.6,Male
Information & Communications,45 - 49,2008,3.0,Male
Professional And Administrative & Support,45 - 49,2008,13.6,Male
Financial & Insurance Services,45 - 49,2008,8.2,Male
Real Estate Services,45 - 49,2008,2.3,Male
Wholesale & Retail Trade,50 - 54,2008,15.3,Male
Transportation & Storage,50 - 54,2008,5.3,Male
Accommodation & Food Services,50 - 54,2008,11.6,Male
Information & Communications,50 - 54,2008,2.3,Male
Professional And Administrative & Support,50 - 54,2008,13.899999999999999,Male
Financial & Insurance Services,50 - 54,2008,3.9,Male
Real Estate Services,50 - 54,2008,1.9,Male
Wholesale & Retail Trade,55 - 59,2008,9.0,Male
Transportation & Storage,55 - 59,2008,2.9,Male
Accommodation & Food Services,55 - 59,2008,8.2,Male
Information & Communications,55 - 59,2008,0.9,Male
Professional And Administrative & Support,55 - 59,2008,9.1,Male
Financial & Insurance Services,55 - 59,2008,2.0,Male
Real Estate Services,55 - 59,2008,1.3,Male
Wholesale & Retail Trade,60 - 64,2008,4.4,Male
Transportation & Storage,60 - 64,2008,1.4,Male
Accommodation & Food Services,60 - 64,2008,5.0,Male
Information & Communications,60 - 64,2008,0.2,Male
Professional And Administrative & Support,60 - 64,2008,5.2,Male
Financial & Insurance Services,60 - 64,2008,0.6,Male
Real Estate Services,60 - 64,2008,0.7,Male
Wholesale & Retail Trade,65 or over,2008,2.2,Male
Transportation & Storage,65 or over,2008,0.3,Male
Accommodation & Food Services,65 or over,2008,3.7,Male
Information & Communications,65 or over,2008,0.1,Male
Professional And Administrative & Support,65 or over,2008,3.8000000000000003,Male
Financial & Insurance Services,65 or over,2008,0.4,Male
Real Estate Services,65 or over,2008,0.3,Male
Wholesale & Retail Trade,15 - 19,2007,4.3,Male
Transportation & Storage,15 - 19,2007,0.6,Male
Accommodation & Food Services,15 - 19,2007,2.6,Male
Information & Communications,15 - 19,2007,0.6,Male
Professional And Administrative & Support,15 - 19,2007,3.2,Male
Financial & Insurance Services,15 - 19,2007,0.5,Male
Wholesale & Retail Trade,20 - 24,2007,9.9,Male
Transportation & Storage,20 - 24,2007,4.1,Male
Accommodation & Food Services,20 - 24,2007,4.0,Male
Information & Communications,20 - 24,2007,3.7,Male
Financial & Insurance Services,20 - 24,2007,6.3,Male
Professional And Administrative & Support,20 - 24,2007,10.0,Male
Real Estate Services,20 - 24,2007,1.0,Male
Wholesale & Retail Trade,25 - 29,2007,14.1,Male
Transportation & Storage,25 - 29,2007,6.6,Male
Accommodation & Food Services,25 - 29,2007,3.9,Male
Information & Communications,25 - 29,2007,7.5,Male
Financial & Insurance Services,25 - 29,2007,10.8,Male
Professional And Administrative & Support,25 - 29,2007,18.3,Male
Real Estate Services,25 - 29,2007,2.2,Male
Wholesale & Retail Trade,30 - 34,2007,17.2,Male
Transportation & Storage,30 - 34,2007,6.2,Male
Accommodation & Food Services,30 - 34,2007,4.0,Male
Information & Communications,30 - 34,2007,7.6,Male
Financial & Insurance Services,30 - 34,2007,11.8,Male
Professional And Administrative & Support,30 - 34,2007,19.4,Male
Real Estate Services,30 - 34,2007,2.7,Male
Wholesale & Retail Trade,35 - 39,2007,16.3,Male
Transportation & Storage,35 - 39,2007,5.1,Male
Accommodation & Food Services,35 - 39,2007,4.7,Male
Information & Communications,35 - 39,2007,5.3,Male
Financial & Insurance Services,35 - 39,2007,11.1,Male
Professional And Administrative & Support,35 - 39,2007,16.4,Male
Real Estate Services,35 - 39,2007,2.9,Male
Wholesale & Retail Trade,40 - 44,2007,19.5,Male
Transportation & Storage,40 - 44,2007,5.6,Male
Accommodation & Food Services,40 - 44,2007,7.7,Male
Information & Communications,40 - 44,2007,4.2,Male
Financial & Insurance Services,40 - 44,2007,9.2,Male
Professional And Administrative & Support,40 - 44,2007,13.399999999999999,Male
Real Estate Services,40 - 44,2007,2.2,Male
Wholesale & Retail Trade,45 - 49,2007,19.0,Male
Transportation & Storage,45 - 49,2007,4.8,Male
Accommodation & Food Services,45 - 49,2007,10.4,Male
Information & Communications,45 - 49,2007,3.9,Male
Financial & Insurance Services,45 - 49,2007,7.0,Male
Professional And Administrative & Support,45 - 49,2007,10.9,Male
Real Estate Services,45 - 49,2007,2.6,Male
Wholesale & Retail Trade,50 - 54,2007,15.2,Male
Transportation & Storage,50 - 54,2007,4.3,Male
Accommodation & Food Services,50 - 54,2007,10.6,Male
Information & Communications,50 - 54,2007,1.6,Male
Financial & Insurance Services,50 - 54,2007,3.6,Male
Professional And Administrative & Support,50 - 54,2007,5.2,Male
Real Estate Services,50 - 54,2007,2.5,Male
Wholesale & Retail Trade,55 - 59,2007,8.3,Male
Transportation & Storage,55 - 59,2007,1.8,Male
Accommodation & Food Services,55 - 59,2007,8.1,Male
Information & Communications,55 - 59,2007,0.9,Male
Financial & Insurance Services,55 - 59,2007,1.9,Male
Professional And Administrative & Support,55 - 59,2007,2.8,Male
Real Estate Services,55 - 59,2007,1.1,Male
Wholesale & Retail Trade,60 - 64,2007,3.3,Male
Transportation & Storage,60 - 64,2007,0.8,Male
Accommodation & Food Services,60 - 64,2007,4.0,Male
Information & Communications,60 - 64,2007,0.1,Male
Financial & Insurance Services,60 - 64,2007,0.6,Male
Professional And Administrative & Support,60 - 64,2007,0.7,Male
Real Estate Services,60 - 64,2007,0.3,Male
Wholesale & Retail Trade,65 or over,2007,2.8,Male
Transportation & Storage,65 or over,2007,0.5,Male
Accommodation & Food Services,65 or over,2007,3.5,Male
Information & Communications,65 or over,2007,0.1,Male
Financial & Insurance Services,65 or over,2007,0.3,Male
Professional And Administrative & Support,65 or over,2007,0.4,Male
Real Estate Services,65 or over,2007,0.4,Male
Wholesale & Retail Trade,15 - 19,2024,1.7,Female
Transportation & Storage,15 - 19,2024,0.3,Female
Accommodation & Food Services,15 - 19,2024,2.7,Female
Information & Communications,15 - 19,2024,0.2,Female
Financial & Insurance Services,15 - 19,2024,0.4,Female
Professional And Administrative & Support,15 - 19,2024,0.6000000000000001,Female
Real Estate Services,15 - 19,2024,0.1,Female
Wholesale & Retail Trade,20 - 24,2024,5.9,Female
Transportation & Storage,20 - 24,2024,1.6,Female
Accommodation & Food Services,20 - 24,2024,5.0,Female
Information & Communications,20 - 24,2024,3.4,Female
Financial & Insurance Services,20 - 24,2024,5.2,Female
Professional And Administrative & Support,20 - 24,2024,8.6,Female
Real Estate Services,20 - 24,2024,0.7,Female
Wholesale & Retail Trade,25 - 29,2024,11.3,Female
Transportation & Storage,25 - 29,2024,4.3,Female
Accommodation & Food Services,25 - 29,2024,3.6,Female
Information & Communications,25 - 29,2024,10.2,Female
Financial & Insurance Services,25 - 29,2024,12.5,Female
Professional And Administrative & Support,25 - 29,2024,22.7,Female
Real Estate Services,25 - 29,2024,1.9,Female
Wholesale & Retail Trade,30 - 34,2024,17.4,Female
Transportation & Storage,30 - 34,2024,5.9,Female
Accommodation & Food Services,30 - 34,2024,5.1,Female
Information & Communications,30 - 34,2024,10.0,Female
Financial & Insurance Services,30 - 34,2024,21.1,Female
Professional And Administrative & Support,30 - 34,2024,31.1,Female
Real Estate Services,30 - 34,2024,2.6,Female
Wholesale & Retail Trade,35 - 39,2024,21.7,Female
Transportation & Storage,35 - 39,2024,4.6,Female
Accommodation & Food Services,35 - 39,2024,5.6,Female
Information & Communications,35 - 39,2024,9.3,Female
Financial & Insurance Services,35 - 39,2024,19.9,Female
Professional And Administrative & Support,35 - 39,2024,29.2,Female
Real Estate Services,35 - 39,2024,3.2,Female
Wholesale & Retail Trade,40 - 44,2024,21.4,Female
Transportation & Storage,40 - 44,2024,4.3,Female
Accommodation & Food Services,40 - 44,2024,7.7,Female
Information & Communications,40 - 44,2024,8.4,Female
Financial & Insurance Services,40 - 44,2024,18.6,Female
Professional And Administrative & Support,40 - 44,2024,27.0,Female
Real Estate Services,40 - 44,2024,3.4,Female
Wholesale & Retail Trade,45 - 49,2024,21.2,Female
Transportation & Storage,45 - 49,2024,5.7,Female
Accommodation & Food Services,45 - 49,2024,7.8,Female
Information & Communications,45 - 49,2024,6.5,Female
Financial & Insurance Services,45 - 49,2024,15.7,Female
Professional And Administrative & Support,45 - 49,2024,22.2,Female
Real Estate Services,45 - 49,2024,3.8,Female
Wholesale & Retail Trade,50 - 54,2024,21.6,Female
Transportation & Storage,50 - 54,2024,6.3,Female
Accommodation & Food Services,50 - 54,2024,9.2,Female
Information & Communications,50 - 54,2024,5.8,Female
Financial & Insurance Services,50 - 54,2024,14.6,Female
Professional And Administrative & Support,50 - 54,2024,20.4,Female
Real Estate Services,50 - 54,2024,2.7,Female
Wholesale & Retail Trade,55 - 59,2024,17.3,Female
Transportation & Storage,55 - 59,2024,4.5,Female
Accommodation & Food Services,55 - 59,2024,10.2,Female
Information & Communications,55 - 59,2024,2.9,Female
Financial & Insurance Services,55 - 59,2024,8.0,Female
Professional And Administrative & Support,55 - 59,2024,10.9,Female
Real Estate Services,55 - 59,2024,3.2,Female
Wholesale & Retail Trade,60 - 64,2024,15.6,Female
Transportation & Storage,60 - 64,2024,4.6,Female
Accommodation & Food Services,60 - 64,2024,10.6,Female
Information & Communications,60 - 64,2024,1.5,Female
Financial & Insurance Services,60 - 64,2024,6.4,Female
Professional And Administrative & Support,60 - 64,2024,7.9,Female
Real Estate Services,60 - 64,2024,3.0,Female
Wholesale & Retail Trade,65 or over,2024,18.5,Female
Transportation & Storage,65 or over,2024,4.2,Female
Accommodation & Food Services,65 or over,2024,17.3,Female
Information & Communications,65 or over,2024,1.4,Female
Financial & Insurance Services,65 or over,2024,3.9,Female
Professional And Administrative & Support,65 or over,2024,5.3,Female
Real Estate Services,65 or over,2024,3.4,Female
Wholesale & Retail Trade,15 - 19,2023,2.9,Female
Transportation & Storage,15 - 19,2023,0.3,Female
Accommodation & Food Services,15 - 19,2023,3.8,Female
Information & Communications,15 - 19,2023,0.7,Female
Financial & Insurance Services,15 - 19,2023,0.3,Female
Professional And Administrative & Support,15 - 19,2023,1.0,Female
Real Estate Services,15 - 19,2023,0.1,Female
Wholesale & Retail Trade,20 - 24,2023,6.6,Female
Transportation & Storage,20 - 24,2023,2.1,Female
Accommodation & Food Services,20 - 24,2023,5.6,Female
Information & Communications,20 - 24,2023,4.0,Female
Financial & Insurance Services,20 - 24,2023,3.9,Female
Professional And Administrative & Support,20 - 24,2023,7.9,Female
Real Estate Services,20 - 24,2023,0.9,Female
Wholesale & Retail Trade,25 - 29,2023,11.4,Female
Transportation & Storage,25 - 29,2023,4.4,Female
Accommodation & Food Services,25 - 29,2023,3.4,Female
Information & Communications,25 - 29,2023,9.7,Female
Financial & Insurance Services,25 - 29,2023,13.9,Female
Professional And Administrative & Support,25 - 29,2023,23.6,Female
Real Estate Services,25 - 29,2023,1.3,Female
Wholesale & Retail Trade,30 - 34,2023,17.2,Female
Transportation & Storage,30 - 34,2023,6.7,Female
Accommodation & Food Services,30 - 34,2023,4.0,Female
Information & Communications,30 - 34,2023,10.1,Female
Financial & Insurance Services,30 - 34,2023,19.4,Female
Professional And Administrative & Support,30 - 34,2023,29.5,Female
Real Estate Services,30 - 34,2023,2.8,Female
Wholesale & Retail Trade,35 - 39,2023,18.8,Female
Transportation & Storage,35 - 39,2023,5.9,Female
Accommodation & Food Services,35 - 39,2023,6.2,Female
Information & Communications,35 - 39,2023,8.2,Female
Financial & Insurance Services,35 - 39,2023,18.0,Female
Professional And Administrative & Support,35 - 39,2023,26.2,Female
Real Estate Services,35 - 39,2023,3.7,Female
Wholesale & Retail Trade,40 - 44,2023,21.0,Female
Transportation & Storage,40 - 44,2023,6.6,Female
Accommodation & Food Services,40 - 44,2023,6.7,Female
Information & Communications,40 - 44,2023,8.8,Female
Financial & Insurance Services,40 - 44,2023,16.0,Female
Professional And Administrative & Support,40 - 44,2023,24.8,Female
Real Estate Services,40 - 44,2023,3.0,Female
Wholesale & Retail Trade,45 - 49,2023,21.0,Female
Transportation & Storage,45 - 49,2023,5.7,Female
Accommodation & Food Services,45 - 49,2023,6.0,Female
Information & Communications,45 - 49,2023,5.8,Female
Financial & Insurance Services,45 - 49,2023,15.7,Female
Professional And Administrative & Support,45 - 49,2023,21.5,Female
Real Estate Services,45 - 49,2023,3.7,Female
Wholesale & Retail Trade,50 - 54,2023,20.8,Female
Transportation & Storage,50 - 54,2023,6.9,Female
Accommodation & Food Services,50 - 54,2023,9.4,Female
Information & Communications,50 - 54,2023,4.5,Female
Financial & Insurance Services,50 - 54,2023,12.6,Female
Professional And Administrative & Support,50 - 54,2023,17.1,Female
Real Estate Services,50 - 54,2023,3.8,Female
Wholesale & Retail Trade,55 - 59,2023,18.6,Female
Transportation & Storage,55 - 59,2023,4.9,Female
Accommodation & Food Services,55 - 59,2023,8.4,Female
Information & Communications,55 - 59,2023,2.0,Female
Financial & Insurance Services,55 - 59,2023,9.6,Female
Professional And Administrative & Support,55 - 59,2023,11.6,Female
Real Estate Services,55 - 59,2023,3.2,Female
Wholesale & Retail Trade,60 - 64,2023,13.8,Female
Transportation & Storage,60 - 64,2023,4.1,Female
Accommodation & Food Services,60 - 64,2023,9.7,Female
Information & Communications,60 - 64,2023,1.5,Female
Financial & Insurance Services,60 - 64,2023,5.7,Female
Professional And Administrative & Support,60 - 64,2023,7.2,Female
Real Estate Services,60 - 64,2023,2.7,Female
Wholesale & Retail Trade,65 or over,2023,14.0,Female
Transportation & Storage,65 or over,2023,4.1,Female
Accommodation & Food Services,65 or over,2023,14.5,Female
Information & Communications,65 or over,2023,0.9,Female
Financial & Insurance Services,65 or over,2023,3.8,Female
Professional And Administrative & Support,65 or over,2023,4.7,Female
Real Estate Services,65 or over,2023,3.7,Female
Wholesale & Retail Trade,15 - 19,2022,1.7,Female
Transportation & Storage,15 - 19,2022,0.4,Female
Accommodation & Food Services,15 - 19,2022,2.3,Female
Information & Communications,15 - 19,2022,0.4,Female
Financial & Insurance Services,15 - 19,2022,0.6,Female
Professional And Administrative & Support,15 - 19,2022,1.0,Female
Wholesale & Retail Trade,20 - 24,2022,6.7,Female
Transportation & Storage,20 - 24,2022,1.8,Female
Accommodation & Food Services,20 - 24,2022,4.0,Female
Information & Communications,20 - 24,2022,4.1,Female
Financial & Insurance Services,20 - 24,2022,3.5,Female
Real Estate Services,20 - 24,2022,0.6,Female
Professional And Administrative & Support,20 - 24,2022,4.1,Female
Wholesale & Retail Trade,25 - 29,2022,11.1,Female
Transportation & Storage,25 - 29,2022,5.0,Female
Accommodation & Food Services,25 - 29,2022,4.1,Female
Information & Communications,25 - 29,2022,7.9,Female
Financial & Insurance Services,25 - 29,2022,10.3,Female
Real Estate Services,25 - 29,2022,1.4,Female
Professional And Administrative & Support,25 - 29,2022,11.700000000000001,Female
Wholesale & Retail Trade,30 - 34,2022,19.8,Female
Transportation & Storage,30 - 34,2022,6.4,Female
Accommodation & Food Services,30 - 34,2022,4.7,Female
Information & Communications,30 - 34,2022,8.5,Female
Financial & Insurance Services,30 - 34,2022,20.6,Female
Real Estate Services,30 - 34,2022,2.5,Female
Professional And Administrative & Support,30 - 34,2022,23.1,Female
Wholesale & Retail Trade,35 - 39,2022,20.3,Female
Transportation & Storage,35 - 39,2022,6.8,Female
Accommodation & Food Services,35 - 39,2022,6.9,Female
Information & Communications,35 - 39,2022,7.8,Female
Financial & Insurance Services,35 - 39,2022,18.7,Female
Real Estate Services,35 - 39,2022,3.6,Female
Professional And Administrative & Support,35 - 39,2022,22.3,Female
Wholesale & Retail Trade,40 - 44,2022,24.8,Female
Transportation & Storage,40 - 44,2022,7.2,Female
Accommodation & Food Services,40 - 44,2022,6.5,Female
Information & Communications,40 - 44,2022,9.2,Female
Financial & Insurance Services,40 - 44,2022,19.4,Female
Real Estate Services,40 - 44,2022,3.7,Female
Professional And Administrative & Support,40 - 44,2022,23.099999999999998,Female
Wholesale & Retail Trade,45 - 49,2022,24.5,Female
Transportation & Storage,45 - 49,2022,6.7,Female
Accommodation & Food Services,45 - 49,2022,7.8,Female
Information & Communications,45 - 49,2022,5.4,Female
Financial & Insurance Services,45 - 49,2022,15.9,Female
Real Estate Services,45 - 49,2022,4.6,Female
Professional And Administrative & Support,45 - 49,2022,20.5,Female
Wholesale & Retail Trade,50 - 54,2022,21.5,Female
Transportation & Storage,50 - 54,2022,6.4,Female
Accommodation & Food Services,50 - 54,2022,6.8,Female
Information & Communications,50 - 54,2022,4.4,Female
Financial & Insurance Services,50 - 54,2022,10.6,Female
Real Estate Services,50 - 54,2022,4.6,Female
Professional And Administrative & Support,50 - 54,2022,15.2,Female
Wholesale & Retail Trade,55 - 59,2022,18.9,Female
Transportation & Storage,55 - 59,2022,4.7,Female
Accommodation & Food Services,55 - 59,2022,7.2,Female
Information & Communications,55 - 59,2022,3.1,Female
Financial & Insurance Services,55 - 59,2022,8.8,Female
Real Estate Services,55 - 59,2022,2.8,Female
Professional And Administrative & Support,55 - 59,2022,11.600000000000001,Female
Wholesale & Retail Trade,60 - 64,2022,13.6,Female
Transportation & Storage,60 - 64,2022,5.9,Female
Accommodation & Food Services,60 - 64,2022,8.9,Female
Information & Communications,60 - 64,2022,1.5,Female
